Dependents,LoanAmount,CreditHistory,LoanStatus,TotalIncome,IncomeLoanRatio,LoanTermYears,Has_CoApplicantIncome,Gender_Male,Married_Yes,Education_Not Graduate,PropertyArea_Semiurban,PropertyArea_Urban,SelfEmployed_Yes
0.0,144.0,1.0,1,5126.0,28.092079594225517,30.0,1,False,True,False,True,False,False
0.0,184.0,1.0,1,9926.0,18.537175095708243,30.0,1,True,False,False,False,True,False
0.0,110.0,1.0,1,5416.0,20.31019202363368,30.0,1,True,False,True,True,False,False
0.0,80.0,1.0,0,3600.0,22.22222222222222,30.0,0,True,False,False,False,True,False
0.0,47.0,1.0,1,3013.0,15.599070693660803,30.0,1,True,False,False,False,True,False
0.0,75.0,0.8413547237076648,1,2400.0,31.25,30.0,0,True,True,False,False,True,False
0.0,134.0,1.0,1,6277.0,21.347777600764697,30.0,1,True,True,False,True,False,False
0.0,96.0,1.0,1,4695.0,20.447284345047922,28.492462311557787,0,True,True,True,False,True,True
0.0,88.0,1.0,1,3410.0,25.806451612903224,28.492462311557787,0,False,False,False,False,True,False
1.0,44.0,1.0,1,5649.0,7.788989201628607,30.0,0,True,True,False,False,True,False
0.0,144.0,1.0,1,5821.0,24.738017522762412,30.0,0,True,True,False,False,True,False
0.0,120.0,0.0,0,6085.0,19.72062448644207,30.0,1,False,True,False,False,True,False
0.0,144.0,1.0,1,6275.0,22.948207171314742,30.0,1,False,False,False,True,False,False
0.0,100.0,1.0,1,3572.0,27.99552071668533,30.0,1,False,True,True,True,False,False
0.0,120.0,1.0,1,3086.0,38.8852883992223,30.0,0,False,False,False,True,False,False
0.0,112.0,1.0,0,4230.0,26.47754137115839,30.0,0,False,False,False,True,False,False
2.0,134.0,1.0,0,4616.0,29.02946273830156,30.0,0,True,True,False,False,True,False
1.0,262.5,0.0,0,10161.75,25.832164735404827,30.0,0,False,True,False,False,True,True
2.0,97.0,1.0,1,3875.0,25.032258064516128,30.0,1,True,True,False,True,False,False
0.0,96.0,1.0,1,3723.0,25.785656728444803,30.0,1,True,True,False,True,False,False
0.0,135.0,1.0,0,5566.0,24.254401724757457,30.0,1,True,True,False,False,False,False
1.0,180.0,1.0,1,10330.0,17.424975798644724,30.0,1,True,True,False,False,True,False
2.0,144.0,1.0,1,6216.0,23.166023166023166,30.0,1,True,True,True,False,True,False
0.0,120.0,1.0,1,6296.0,19.05972045743329,30.0,1,True,True,False,False,True,False
3.0,99.0,1.0,1,3029.0,32.684054143281614,30.0,0,True,True,False,False,True,False
0.0,165.0,0.0,0,6058.0,27.23671178606801,15.0,1,True,True,True,False,False,True
1.0,146.36949152542374,0.0,0,4945.0,29.59949272506041,30.0,0,True,True,False,False,False,False
0.0,116.0,0.0,0,4166.0,27.84445511281805,30.0,0,False,False,False,True,False,False
0.0,258.0,1.0,0,10321.0,24.997577754093594,30.0,1,True,True,False,True,False,False
0.0,126.0,0.0,0,5454.0,23.102310231023104,15.0,1,True,False,True,False,True,False
1.0,262.5,1.0,1,10161.75,25.832164735404827,30.0,0,True,True,False,False,True,False
3.0,125.0,1.0,1,7100.0,17.6056338028169,5.0,0,True,True,True,False,True,True
0.0,136.0,0.0,0,4300.0,31.627906976744185,30.0,0,False,False,False,True,False,False
0.0,172.0,1.0,1,6274.0,27.41472744660504,30.0,1,True,True,False,False,True,False
2.0,97.0,1.0,1,3750.0,25.866666666666667,30.0,1,True,True,True,True,False,True
0.0,81.0,1.0,1,3500.0,23.142857142857142,25.0,0,True,False,False,True,False,False
3.0,95.0,0.0,0,4755.0,19.978969505783386,28.492462311557787,0,True,True,True,True,False,False
3.0,187.0,1.0,1,7040.0,26.5625,30.0,1,True,True,False,True,False,True
0.0,113.0,1.0,0,3750.0,30.133333333333333,40.0,0,True,False,False,False,True,False
0.0,176.0,1.0,0,8500.0,20.705882352941178,30.0,1,True,False,False,False,True,False
1.0,110.0,1.0,0,4022.0,27.349577324714073,30.0,1,True,True,False,False,True,True
3.0,180.0,0.0,0,7167.0,25.115110925073253,25.0,1,True,True,False,True,False,False
3.0,130.0,0.8413547237076648,1,5499.0,23.64066193853428,30.0,1,True,True,True,True,False,True
0.0,111.0,1.0,1,3846.0,28.861154446177846,30.0,0,False,False,False,True,False,False
1.0,146.36949152542374,1.0,1,2395.0,61.11461024026043,30.0,0,True,True,False,True,False,True
2.0,167.0,1.0,0,3259.0,51.2427124884934,30.0,1,False,True,False,False,True,False
0.0,262.5,0.8413547237076648,0,8250.0,31.818181818181817,30.0,1,True,True,False,True,False,False
1.0,50.0,1.0,1,3988.0,12.537612838515546,20.0,0,True,True,False,False,True,False
0.0,136.0,1.0,1,4897.0,27.77210537063508,30.0,1,True,False,False,True,False,False
2.0,99.0,0.8413547237076648,1,5333.0,18.5636602287643,30.0,1,True,True,True,True,False,False
0.0,104.0,1.0,1,4618.0,22.52057167605024,30.0,1,True,True,False,True,False,False
0.0,210.0,1.0,1,8566.0,24.515526500116742,30.0,0,True,False,False,False,True,False
0.0,175.0,1.0,1,9862.0,17.744879334820524,30.0,1,True,True,False,True,False,False
0.0,131.0,1.0,1,5858.0,22.362581085694778,30.0,1,True,True,False,True,False,False
2.0,188.0,1.0,1,11904.0,15.793010752688172,15.0,1,True,True,False,True,False,False
2.0,81.0,1.0,1,5093.0,15.904182210877675,30.0,1,True,True,True,False,True,False
0.0,122.0,1.0,1,4133.0,29.518509557222355,30.0,0,True,False,False,True,False,False
0.0,25.0,1.0,1,3620.0,6.906077348066298,10.0,0,True,False,True,True,False,False
0.0,146.36949152542374,0.8413547237076648,0,6782.0,21.582054191304003,30.0,0,True,False,False,False,True,False
0.0,137.0,1.0,1,4786.0,28.625156707062263,30.0,1,False,True,False,True,False,False
0.0,50.0,1.0,1,2974.0,16.812373907195695,30.0,1,True,True,False,True,False,False
0.0,115.0,1.0,1,4188.0,27.45940783190067,15.0,0,True,True,True,True,False,False
0.0,131.0,1.0,1,5300.0,24.71698113207547,30.0,1,True,True,False,True,False,False
2.0,133.0,1.0,1,7551.0,17.61356111773275,15.0,1,True,True,True,False,True,False
0.0,151.0,1.0,1,8649.0,17.458665741704245,30.0,1,True,False,False,True,False,False
0.7629382303839732,146.36949152542374,1.0,1,10161.75,14.403965018370236,30.0,0,True,True,False,False,True,False
0.0,146.36949152542374,1.0,1,8235.0,17.774073044981634,30.0,1,True,True,False,True,False,False
1.0,100.0,1.0,1,4082.0,24.49779519843214,30.0,1,True,True,False,False,True,False
2.0,225.0,1.0,1,11287.75,19.933113330823236,30.0,1,True,True,False,False,True,False
0.0,120.0,1.0,0,7333.0,16.36438019909996,30.0,0,True,False,True,False,False,False
2.0,216.0,0.0,0,7400.0,29.18918918918919,30.0,1,True,True,False,False,True,False
3.0,94.0,1.0,1,2825.0,33.27433628318584,40.0,1,True,True,True,True,False,False
0.0,136.0,1.0,1,5316.0,25.583145221971407,30.0,0,True,False,False,False,True,False
0.0,139.0,1.0,1,5262.0,26.415811478525274,30.0,1,False,True,False,True,False,False
0.0,152.0,0.0,0,7686.0,19.776216497527972,28.492462311557787,1,True,True,True,False,False,False
1.0,146.36949152542374,1.0,1,7451.0,19.64427479874161,30.0,0,False,False,False,True,False,True
0.0,118.0,1.0,1,5050.0,23.366336633663366,30.0,0,True,False,False,True,False,False
1.0,185.0,1.0,1,10161.75,18.205525623047212,15.0,0,True,True,False,False,False,False
0.0,154.0,1.0,1,5450.0,28.256880733944953,30.0,1,False,True,False,True,False,False
1.0,85.0,0.8413547237076648,1,3612.0,23.53266888150609,30.0,1,True,True,False,False,True,False
0.0,175.0,1.0,0,7710.0,22.69779507133593,30.0,1,True,True,False,False,False,False
0.0,259.0,1.0,1,10161.75,25.487735872266096,30.0,0,False,False,False,False,True,False
0.7629382303839732,180.0,1.0,1,8334.0,21.598272138228943,30.0,1,True,True,False,False,False,False
0.0,44.0,1.0,1,4166.0,10.561689870379261,30.0,0,False,False,False,True,False,False
0.0,137.0,0.0,1,7897.0,17.348360136760796,30.0,1,False,False,False,True,False,False
2.0,81.0,1.0,1,2957.0,27.392627663172135,30.0,0,True,True,False,True,False,False
0.0,194.0,1.0,1,6314.0,30.725372188786825,30.0,1,True,True,True,False,False,False
0.0,93.0,0.8413547237076648,1,3692.0,25.189599133261105,30.0,0,False,False,False,False,False,False
3.0,262.5,1.0,1,10161.75,25.832164735404827,30.0,0,True,True,False,False,False,False
0.0,146.36949152542374,1.0,1,5505.0,26.58846349235672,30.0,1,True,False,False,False,False,False
1.0,160.0,0.0,0,14011.75,11.418987635377452,15.0,1,True,True,False,False,True,True
0.0,182.0,0.8413547237076648,0,8649.0,21.042895132385247,30.0,1,True,True,False,False,False,False
0.0,262.5,0.8413547237076648,1,10161.75,25.832164735404827,40.0,0,True,False,False,False,True,True
0.0,74.0,1.0,1,3943.0,18.76743596246513,30.0,1,True,False,False,False,True,False
0.0,70.0,1.0,1,2718.0,25.754231052244297,30.0,0,True,False,False,True,False,False
0.0,25.0,1.0,1,3459.0,7.227522405319457,10.0,0,True,True,False,True,False,True
0.0,102.0,1.0,1,4895.0,20.83758937691522,30.0,0,True,False,False,True,False,False
3.0,262.5,1.0,0,9760.0,26.895491803278688,30.0,1,True,True,False,True,False,False
0.0,84.0,1.0,0,4583.0,18.328605716779403,30.0,0,False,True,False,False,False,False
2.0,88.0,1.0,1,6816.0,12.910798122065728,30.0,1,True,True,False,False,True,True
0.0,242.0,0.0,0,10161.75,23.814795679877975,30.0,0,True,False,False,True,False,False
2.0,129.0,1.0,0,5630.0,22.912966252220247,30.0,1,True,True,True,False,False,False
2.0,185.0,1.0,0,7125.0,25.964912280701753,30.0,1,True,True,False,False,False,False
0.0,168.0,1.0,1,5417.0,31.013476093778845,30.0,0,True,False,False,False,True,False
0.0,175.0,1.0,1,6950.0,25.179856115107913,15.0,0,True,False,False,True,False,True
0.0,122.0,1.0,1,4732.0,25.78191039729501,30.0,1,True,True,False,True,False,False
2.0,187.0,1.0,1,10161.75,18.40234211626934,15.0,0,True,True,False,False,True,False
0.0,100.0,1.0,1,6816.0,14.671361502347418,30.0,1,False,True,False,True,False,False
2.0,70.0,1.0,1,10161.75,6.8885772627746205,30.0,0,False,True,False,False,True,False
1.0,30.0,1.0,1,2963.0,10.12487343908201,30.0,1,True,True,False,False,True,False
0.0,225.0,1.0,0,11666.0,19.286816389507973,30.0,1,False,False,False,False,False,False
0.0,125.0,1.0,1,5690.0,21.968365553602812,30.0,1,True,True,False,True,False,False
0.0,118.0,0.0,0,6277.0,18.798789230524136,30.0,0,True,False,False,False,False,False
0.0,152.0,1.0,1,6327.0,24.024024024024023,30.0,1,True,True,False,False,False,True
0.0,244.0,1.0,0,9166.0,26.620117826751038,30.0,0,True,False,False,False,True,False
2.0,113.0,1.0,0,2281.0,49.53967558088558,30.0,0,True,True,True,False,False,False
0.0,50.0,1.0,1,3254.0,15.365703749231715,30.0,0,True,False,False,False,True,False
3.0,262.5,0.0,1,10161.75,25.832164735404827,15.0,0,True,True,False,True,False,False
1.0,160.0,0.8413547237076648,1,6000.0,26.666666666666668,30.0,0,True,True,False,False,False,False
1.0,187.0,1.0,1,9538.0,19.605787376808554,30.0,0,True,True,False,False,True,False
0.0,120.0,1.0,1,5063.0,23.70136282836263,30.0,1,True,False,False,False,False,False
0.0,255.0,1.0,1,10208.0,24.980407523510973,30.0,1,True,True,False,True,False,False
0.0,98.0,1.0,1,2904.0,33.7465564738292,30.0,1,True,True,True,True,False,False
0.0,262.5,1.0,0,7933.0,33.089625614521616,30.0,0,True,True,False,False,True,False
1.0,121.0,0.0,0,4369.0,27.695124742504007,30.0,1,True,True,False,True,False,False
2.0,158.0,1.0,1,5614.0,28.14392589953687,30.0,1,True,True,False,False,False,False
0.0,75.0,1.0,1,9323.0,8.04462083020487,15.0,0,True,True,False,False,True,False
0.0,182.0,1.0,1,6873.0,26.480430670740578,28.492462311557787,1,True,True,False,False,False,False
0.0,112.0,1.0,0,4583.0,24.43814095570587,30.0,0,False,True,False,False,False,False
0.0,129.0,1.0,1,5772.0,22.34927234927235,30.0,1,True,True,False,False,False,False
0.0,63.0,0.0,0,2237.0,28.162717925793473,40.0,0,True,False,False,True,False,False
2.0,200.0,1.0,1,8000.0,25.0,30.0,0,True,True,False,True,False,False
0.0,95.0,1.0,1,3589.0,26.469768737809975,30.0,1,True,True,True,False,False,False
3.0,262.5,1.0,1,10161.75,25.832164735404827,25.0,0,True,True,False,False,True,False
3.0,81.0,1.0,0,3522.0,22.998296422487222,15.0,0,True,True,True,False,False,False
0.0,187.0,1.0,1,11333.0,16.500485308391422,30.0,1,True,True,False,True,False,False
0.0,87.0,1.0,0,5080.0,17.125984251968504,30.0,1,True,True,True,True,False,True
0.0,116.0,1.0,1,5461.0,21.241530855154732,30.0,1,True,True,False,False,False,False
2.0,101.0,1.0,1,3664.0,27.565502183406114,30.0,1,True,True,False,False,False,False
3.0,262.5,0.0,0,11276.0,23.27953174884711,30.0,1,True,True,False,True,False,False
1.0,116.0,1.0,1,3750.0,30.933333333333334,30.0,0,True,True,False,True,False,False
0.0,102.0,0.0,0,3784.0,26.955602536997887,40.0,1,True,False,True,False,True,False
1.0,180.0,0.0,0,12160.0,14.802631578947368,30.0,1,True,True,False,False,True,False
0.0,67.0,0.8413547237076648,0,6979.0,9.60022925920619,30.0,1,True,False,False,False,False,False
0.0,73.0,1.0,1,4600.0,15.869565217391305,15.0,0,True,True,False,True,False,False
1.0,260.0,1.0,0,10161.75,25.58614411887716,30.0,0,True,True,False,True,False,False
0.0,108.0,1.0,1,3625.0,29.79310344827586,30.0,0,False,True,False,True,False,False
0.0,120.0,1.0,1,14911.75,8.047345214344393,30.0,1,True,True,False,True,False,True
1.0,66.0,0.0,0,2178.0,30.303030303030305,25.0,0,True,True,False,False,False,True
0.0,58.0,0.8413547237076648,1,4521.0,12.829020128290201,30.0,1,True,True,False,False,False,False
0.0,168.0,1.0,1,5970.0,28.14070351758794,30.0,1,True,True,False,False,False,True
0.0,188.0,1.0,1,9328.0,20.154373927958833,15.0,0,True,True,False,False,False,False
0.0,48.0,1.0,1,4885.0,9.825997952917094,30.0,0,True,False,True,False,False,False
0.0,164.0,1.0,0,10161.75,16.138952444214826,30.0,0,True,False,False,True,False,False
0.0,160.0,1.0,0,6033.0,26.52080225426819,30.0,0,True,True,True,False,True,False
0.0,76.0,1.0,1,3858.0,19.699326075686884,30.0,0,True,False,False,True,False,False
0.0,120.0,1.0,1,4191.0,28.63278453829635,30.0,0,True,False,False,False,False,False
1.0,170.0,1.0,0,5708.0,29.782761037140855,30.0,1,True,True,False,True,False,False
0.0,187.0,1.0,1,12083.0,15.476289001075891,30.0,1,True,False,False,False,False,False
0.0,120.0,1.0,1,4272.0,28.089887640449437,28.492462311557787,1,False,False,True,False,True,False
0.0,113.0,0.8413547237076648,1,6232.0,18.13222079589217,30.0,1,False,True,False,True,False,False
0.0,83.0,1.0,0,10161.75,8.167884468718478,30.0,0,True,False,False,False,True,True
1.0,90.0,1.0,1,5100.0,17.647058823529413,30.0,1,True,True,True,True,False,False
2.0,166.0,0.0,1,4923.0,33.719276863701,30.0,0,True,False,False,True,False,False
3.0,146.36949152542374,1.0,0,3992.0,36.66570428993581,15.0,0,True,True,True,False,True,False
1.0,135.0,1.0,1,4583.0,29.456687759109755,30.0,1,True,True,True,False,True,False
2.0,124.0,1.0,1,3917.0,31.65688026550932,30.0,0,True,True,True,True,False,False
0.0,120.0,1.0,1,4408.0,27.22323049001815,30.0,0,False,False,True,True,False,False
0.0,80.0,1.0,1,3244.0,24.66091245376079,30.0,0,False,False,False,False,True,False
0.0,55.0,1.0,1,6506.0,8.453735013833384,30.0,1,True,False,True,False,False,False
0.0,59.0,1.0,1,2479.0,23.79991932230738,30.0,0,True,False,False,False,True,False
0.0,127.0,1.0,0,3418.0,37.15623171445289,30.0,0,True,False,False,True,False,False
0.0,214.0,1.0,0,10000.0,21.4,30.0,0,False,False,False,True,False,False
3.0,128.0,0.0,0,4680.0,27.35042735042735,30.0,1,True,True,False,True,False,False
1.0,240.0,1.0,1,7787.0,30.820598433286246,30.0,0,True,True,False,False,True,True
3.0,130.0,1.0,1,5703.0,22.79502016482553,30.0,0,True,True,True,False,False,True
0.0,137.0,1.0,1,6194.0,22.118178882789795,30.0,1,True,True,False,False,True,False
3.0,100.0,1.0,1,4833.0,20.69108214359611,30.0,1,True,True,True,True,False,False
0.0,135.0,1.0,0,1950.0,69.23076923076923,30.0,1,True,True,False,False,False,False
0.0,131.0,1.0,1,5502.0,23.80952380952381,30.0,1,True,True,False,True,False,False
2.0,72.0,0.0,0,5000.0,14.4,30.0,0,True,True,False,True,False,False
2.0,127.0,0.8413547237076648,1,6666.0,19.05190519051905,30.0,1,False,True,False,True,False,False
0.0,60.0,0.0,0,2221.0,27.014858171994597,30.0,0,True,True,False,False,True,False
2.0,116.0,1.0,1,5726.0,20.258470136220748,30.0,1,True,True,False,True,False,False
0.0,144.0,1.0,1,5762.0,24.99132245748004,30.0,1,True,False,False,True,False,False
0.0,175.0,1.0,1,8588.0,20.3772706101537,28.492462311557787,1,True,True,False,True,False,False
0.0,128.0,1.0,1,6250.0,20.48,30.0,0,True,True,False,True,False,False
0.0,170.0,1.0,0,3250.0,52.30769230769231,30.0,0,True,True,False,False,False,False
0.7629382303839732,138.0,1.0,0,4735.0,29.14466737064414,30.0,0,True,True,True,False,True,True
2.0,210.0,1.0,1,7945.0,26.431718061674008,30.0,1,True,True,False,True,False,False
0.0,200.0,1.0,1,6400.0,31.25,30.0,0,True,False,False,False,False,True
1.0,104.0,1.0,1,4545.0,22.882288228822883,30.0,1,True,True,False,True,False,False
0.0,42.0,1.0,1,3716.0,11.302475780409042,15.0,0,True,True,False,False,False,False
0.0,120.0,1.0,1,5787.0,20.73613271124935,28.492462311557787,1,True,False,True,False,False,False
0.0,262.5,1.0,1,8333.0,31.501260050402017,30.0,0,False,False,False,True,False,False
1.0,140.0,1.0,1,4934.0,28.37454398054317,30.0,1,True,True,False,True,False,False
1.0,170.0,1.0,1,6760.0,25.14792899408284,30.0,1,True,True,False,False,False,False
0.0,255.0,0.8413547237076648,0,5746.0,44.37869822485207,30.0,0,True,True,False,False,True,False
0.0,122.0,0.8413547237076648,1,3463.0,35.229569737222064,30.0,0,False,False,False,False,True,True
1.0,112.0,1.0,1,3812.0,29.38090241343127,30.0,0,False,False,False,False,False,False
1.0,96.0,1.0,1,3315.0,28.959276018099548,30.0,0,True,True,False,True,False,False
2.0,120.0,1.0,1,10819.0,11.09159811442832,30.0,1,True,True,False,False,False,False
1.0,140.0,1.0,0,4493.0,31.159581571333185,15.0,1,True,True,True,False,True,False
0.0,155.0,1.0,1,8666.0,17.88599123009462,5.0,1,True,False,False,False,True,False
2.0,108.0,1.0,1,7550.0,14.304635761589404,30.0,1,True,True,False,False,False,True
0.0,123.0,1.0,1,7823.0,15.722868464783332,30.0,1,True,True,True,True,False,False
0.0,120.0,1.0,0,10383.0,11.557353366079168,15.0,1,True,False,False,False,True,True
2.0,112.0,1.0,1,9703.0,11.542821807688345,30.0,0,True,True,False,False,True,False
1.0,137.0,1.0,1,6608.0,20.732445520581113,15.0,0,True,True,True,False,True,False
1.0,123.0,1.0,1,4725.0,26.03174603174603,40.0,1,True,True,False,True,False,False
0.0,90.0,1.0,1,3677.0,24.476475387544195,30.0,1,True,True,False,False,True,False
0.0,201.0,0.0,0,5558.0,36.1640878013674,30.0,1,True,True,True,True,False,False
2.0,138.0,1.0,0,3427.0,40.26845637583892,30.0,0,False,False,False,False,True,False
0.0,104.0,1.0,1,4750.0,21.894736842105264,30.0,1,True,False,True,False,False,True
1.0,262.5,1.0,1,8421.0,31.17206982543641,15.0,1,True,True,True,True,False,False
0.0,192.0,0.0,0,10161.75,18.894383349324674,30.0,0,True,False,False,False,True,True
3.0,255.0,1.0,1,3083.0,82.71164450210834,30.0,0,False,False,False,False,False,False
0.0,115.0,0.0,0,6045.0,19.02398676592225,30.0,0,True,False,True,False,False,False
3.0,94.0,1.0,0,5250.0,17.904761904761905,30.0,0,True,True,False,False,True,False
0.0,262.5,1.0,0,12261.75,21.408037188818888,30.0,1,True,True,False,False,False,False
3.0,128.0,0.8413547237076648,0,4931.0,25.958223484080307,30.0,0,True,True,True,True,False,False
1.0,262.5,0.8413547237076648,1,10333.0,25.404045291783607,30.0,1,True,True,False,False,True,False
0.0,134.0,1.0,1,4269.0,31.389084094635745,30.0,1,True,False,False,True,False,False
1.0,155.0,1.0,0,3481.0,44.52743464521689,3.0,0,False,False,False,True,False,False
0.0,120.0,1.0,1,7200.0,16.666666666666668,30.0,0,False,False,False,False,False,False
0.0,128.0,1.0,1,5166.0,24.77739063104917,30.0,0,True,False,False,True,False,True
0.0,151.0,1.0,1,7542.0,20.02121453195439,30.0,1,True,False,False,False,False,False
2.0,150.0,1.0,1,6095.0,24.61033634126333,30.0,1,True,True,False,True,False,False
3.0,160.0,0.0,1,6144.0,26.041666666666668,30.0,1,True,True,False,False,True,False
0.0,135.0,1.0,0,3418.0,39.496781743709775,30.0,0,False,False,False,False,False,False
1.0,90.0,1.0,1,4436.0,20.288548241659154,30.0,1,False,False,False,False,True,False
0.0,30.0,1.0,1,3237.0,9.267840593141798,30.0,0,False,False,False,False,True,False
0.0,136.0,1.0,1,10161.75,13.383521539104978,30.0,0,True,True,False,False,True,False
0.0,126.0,1.0,1,4690.0,26.865671641791046,30.0,1,True,False,False,False,False,False
0.0,150.0,1.0,1,4843.0,30.97253768325418,30.0,1,True,True,False,True,False,False
2.0,90.0,1.0,1,3900.0,23.076923076923077,30.0,0,True,True,False,True,False,False
1.0,115.0,1.0,1,4592.0,25.04355400696864,30.0,1,True,True,False,True,False,False
0.0,207.0,1.0,1,7267.0,28.48493188385854,30.0,1,True,True,False,True,False,False
0.0,80.0,1.0,1,4403.0,18.169429934135817,30.0,1,True,True,False,False,True,False
0.0,262.5,1.0,1,10161.75,25.832164735404827,30.0,0,True,True,False,True,False,False
0.0,124.0,0.8413547237076648,1,4100.0,30.24390243902439,30.0,0,False,True,True,False,False,False
1.0,158.0,0.0,0,6479.0,24.386479394968358,30.0,1,True,False,True,False,True,True
0.0,112.0,1.0,1,4727.0,23.6936746350751,30.0,1,True,True,False,True,False,False
2.0,78.0,1.0,1,3286.7999878,23.731288879615956,15.0,1,True,True,False,False,True,False
0.0,54.0,1.0,1,3477.0,15.530629853321829,30.0,1,False,False,False,False,True,False
0.0,146.36949152542374,1.0,0,10161.75,14.403965018370236,30.0,0,True,True,False,False,False,False
0.0,89.0,1.0,1,6211.0,14.329415553051039,30.0,1,True,False,False,False,False,False
0.0,99.0,1.0,0,4317.0,22.932592077831828,25.0,1,False,False,False,True,False,True
0.0,120.0,1.0,1,5704.0,21.037868162692845,30.0,1,True,True,False,False,False,False
0.0,115.0,1.0,1,4124.0,27.885548011639184,30.0,0,False,False,False,True,False,False
0.0,187.0,1.0,1,9508.0,19.667648296171645,30.0,0,True,False,False,False,False,False
0.0,139.0,1.0,1,5491.0,25.314150427973047,30.0,1,True,True,False,False,False,False
2.0,127.0,0.0,0,4400.0,28.863636363636363,30.0,0,True,True,False,True,False,False
2.0,134.0,1.0,1,4713.0,28.431996605134735,30.0,1,True,True,False,False,True,False
0.7629382303839732,143.0,0.0,0,5417.0,26.398375484585564,40.0,0,False,False,False,False,True,False
0.0,172.0,1.0,1,5717.0,30.085709288088157,30.0,1,True,True,False,True,False,False
3.0,110.0,1.0,1,5666.0,19.41404871161313,30.0,1,True,True,False,False,True,False
1.0,200.0,1.0,1,6875.0,29.09090909090909,30.0,0,True,True,False,True,False,False
1.0,135.0,1.0,1,4666.0,28.932704672096015,30.0,0,False,True,False,False,True,False
0.0,151.0,1.0,0,7541.0,20.023869513327146,40.0,1,False,False,False,False,False,False
1.0,113.0,1.0,0,4939.0,22.87912532901397,30.0,1,True,True,False,False,True,False
0.0,93.0,0.0,0,4734.0,19.64512040557668,30.0,1,True,True,True,False,True,False
0.7629382303839732,105.0,1.0,1,4625.0,22.7027027027027,30.0,1,True,True,True,True,False,False
0.0,132.0,1.0,1,5000.0,26.4,30.0,0,False,False,False,False,False,False
